Date,Indicator,Type
01/03/1975,0,Trough
01/04/1975,0.000366714,Expansion
01/05/1975,0.001466586,Expansion
01/06/1975,0.00329881,Expansion
01/07/1975,0.005862043,Expansion
01/08/1975,0.009154403,Expansion
01/09/1975,0.013173477,Expansion
01/10/1975,0.017916317,Expansion
01/11/1975,0.023379444,Expansion
01/12/1975,0.029558852,Expansion
01/01/1976,0.036450007,Expansion
01/02/1976,0.044047857,Expansion
01/03/1976,0.052346829,Expansion
01/04/1976,0.061340835,Expansion
01/05/1976,0.07102328,Expansion
01/06/1976,0.081387062,Expansion
01/07/1976,0.09242458,Expansion
01/08/1976,0.104127739,Expansion
01/09/1976,0.116487956,Expansion
01/10/1976,0.129496164,Expansion
01/11/1976,0.143142824,Expansion
01/12/1976,0.157417926,Expansion
01/01/1977,0.172311002,Expansion
01/02/1977,0.187811127,Expansion
01/03/1977,0.203906934,Expansion
01/04/1977,0.220586618,Expansion
01/05/1977,0.237837945,Expansion
01/06/1977,0.255648262,Expansion
01/07/1977,0.274004508,Expansion
01/08/1977,0.292893219,Expansion
01/09/1977,0.312300541,Expansion
01/10/1977,0.332212241,Expansion
01/11/1977,0.352613715,Expansion
01/12/1977,0.37349,Expansion
01/01/1978,0.394825785,Expansion
01/02/1978,0.416605421,Expansion
01/03/1978,0.438812935,Expansion
01/04/1978,0.461432038,Expansion
01/05/1978,0.484446143,Expansion
01/06/1978,0.507838369,Expansion
01/07/1978,0.531591559,Expansion
01/08/1978,0.555688294,Expansion
01/09/1978,0.580110898,Expansion
01/10/1978,0.604841461,Expansion
01/11/1978,0.629861845,Expansion
01/12/1978,0.655153697,Expansion
01/01/1979,0.68069847,Expansion
01/02/1979,0.706477427,Expansion
01/03/1979,0.732471661,Expansion
01/04/1979,0.758662109,Expansion
01/05/1979,0.78502956,Expansion
01/06/1979,0.811554676,Expansion
01/07/1979,0.838218003,Expansion
01/08/1979,0.864999986,Expansion
01/09/1979,0.891880982,Expansion
01/10/1979,0.918841274,Expansion
01/11/1979,0.945861091,Expansion
01/12/1979,0.972920615,Expansion
01/01/1980,1,Peak
01/02/1980,0.965925826,Recession
01/03/1980,0.866025404,Recession
01/04/1980,0.707106781,Recession
01/05/1980,0.5,Recession
01/06/1980,0.258819045,Recession
01/07/1980,0,Trough
01/08/1980,0.008555139,Expansion
01/09/1980,0.034074174,Expansion
01/10/1980,0.076120467,Expansion
01/11/1980,0.133974596,Expansion
01/12/1980,0.20664666,Expansion
01/01/1981,0.292893219,Expansion
01/02/1981,0.391238571,Expansion
01/03/1981,0.5,Expansion
01/04/1981,0.617316568,Expansion
01/05/1981,0.741180955,Expansion
01/06/1981,0.869473808,Expansion
01/07/1981,1,Peak
01/08/1981,0.90198286,Recession
01/09/1981,0.804909678,Recession
01/10/1981,0.709715323,Recession
01/11/1981,0.617316568,Recession
01/12/1981,0.528603263,Recession
01/01/1982,0.444429767,Recession
01/02/1982,0.365606716,Recession
01/03/1982,0.292893219,Recession
01/04/1982,0.226989547,Recession
01/05/1982,0.168530388,Recession
01/06/1982,0.118078736,Recession
01/07/1982,0.076120467,Recession
01/08/1982,0.043059664,Recession
01/09/1982,0.01921472,Recession
01/10/1982,0.004815273,Recession
01/11/1982,0,Trough
01/12/1982,0.000133862,Expansion
01/01/1983,0.000535413,Expansion
01/02/1983,0.001204544,Expansion
01/03/1983,0.002141077,Expansion
01/04/1983,0.003344761,Expansion
01/05/1983,0.004815273,Expansion
01/06/1983,0.006552221,Expansion
01/07/1983,0.008555139,Expansion
01/08/1983,0.01082349,Expansion
01/09/1983,0.013356668,Expansion
01/10/1983,0.016153994,Expansion
01/11/1983,0.01921472,Expansion
01/12/1983,0.022538025,Expansion
01/01/1984,0.026123021,Expansion
01/02/1984,0.029968747,Expansion
01/03/1984,0.034074174,Expansion
01/04/1984,0.038438202,Expansion
01/05/1984,0.043059664,Expansion
01/06/1984,0.047937322,Expansion
01/07/1984,0.053069871,Expansion
01/08/1984,0.058455935,Expansion
01/09/1984,0.064094073,Expansion
01/10/1984,0.069982776,Expansion
01/11/1984,0.076120467,Expansion
01/12/1984,0.082505504,Expansion
01/01/1985,0.089136175,Expansion
01/02/1985,0.096010707,Expansion
01/03/1985,0.103127258,Expansion
01/04/1985,0.110483925,Expansion
01/05/1985,0.118078736,Expansion
01/06/1985,0.125909658,Expansion
01/07/1985,0.133974596,Expansion
01/08/1985,0.14227139,Expansion
01/09/1985,0.150797818,Expansion
01/10/1985,0.159551599,Expansion
01/11/1985,0.168530388,Expansion
01/12/1985,0.177731781,Expansion
01/01/1986,0.187153315,Expansion
01/02/1986,0.196792469,Expansion
01/03/1986,0.20664666,Expansion
01/04/1986,0.216713251,Expansion
01/05/1986,0.226989547,Expansion
01/06/1986,0.237472796,Expansion
01/07/1986,0.248160193,Expansion
01/08/1986,0.259048875,Expansion
01/09/1986,0.270135927,Expansion
01/10/1986,0.281418382,Expansion
01/11/1986,0.292893219,Expansion
01/12/1986,0.304557365,Expansion
01/01/1987,0.316407698,Expansion
01/02/1987,0.328441045,Expansion
01/03/1987,0.340654185,Expansion
01/04/1987,0.353043847,Expansion
01/05/1987,0.365606716,Expansion
01/06/1987,0.378339427,Expansion
01/07/1987,0.391238571,Expansion
01/08/1987,0.404300696,Expansion
01/09/1987,0.417522303,Expansion
01/10/1987,0.430899854,Expansion
01/11/1987,0.444429767,Expansion
01/12/1987,0.458108419,Expansion
01/01/1988,0.471932149,Expansion
01/02/1988,0.485897256,Expansion
01/03/1988,0.5,Expansion
01/04/1988,0.514236606,Expansion
01/05/1988,0.528603263,Expansion
01/06/1988,0.543096124,Expansion
01/07/1988,0.55771131,Expansion
01/08/1988,0.572444907,Expansion
01/09/1988,0.58729297,Expansion
01/10/1988,0.602251525,Expansion
01/11/1988,0.617316568,Expansion
01/12/1988,0.632484063,Expansion
01/01/1989,0.647749952,Expansion
01/02/1989,0.663110147,Expansion
01/03/1989,0.678560535,Expansion
01/04/1989,0.69409698,Expansion
01/05/1989,0.709715323,Expansion
01/06/1989,0.725411382,Expansion
01/07/1989,0.741180955,Expansion
01/08/1989,0.75701982,Expansion
01/09/1989,0.772923737,Expansion
01/10/1989,0.788888448,Expansion
01/11/1989,0.804909678,Expansion
01/12/1989,0.820983139,Expansion
01/01/1990,0.837104527,Expansion
01/02/1990,0.853269526,Expansion
