Date;InvToSales
1967-01-01;1,315
1967-02-01;1,327
1967-03-01;1,325
1967-04-01;1,331
1967-05-01;1,335
1967-06-01;1,324
1967-07-01;1,337
1967-08-01;1,334
1967-09-01;1,327
1967-10-01;1,337
1967-11-01;1,313
1967-12-01;1,292
1968-01-01;1,315
1968-02-01;1,321
1968-03-01;1,312
1968-04-01;1,324
1968-05-01;1,325
1968-06-01;1,319
1968-07-01;1,311
1968-08-01;1,349
1968-09-01;1,326
1968-10-01;1,321
1968-11-01;1,314
1968-12-01;1,328
1969-01-01;1,334
1969-02-01;1,339
1969-03-01;1,341
1969-04-01;1,34
1969-05-01;1,348
1969-06-01;1,352
1969-07-01;1,36
1969-08-01;1,357
1969-09-01;1,354
1969-10-01;1,347
1969-11-01;1,368
1969-12-01;1,376
1970-01-01;1,39
1970-02-01;1,392
1970-03-01;1,409
1970-04-01;1,425
1970-05-01;1,406
1970-06-01;1,405
1970-07-01;1,413
1970-08-01;1,423
1970-09-01;1,422
1970-10-01;1,435
1970-11-01;1,461
1970-12-01;1,412
1971-01-01;1,407
1971-02-01;1,402
1971-03-01;1,405
1971-04-01;1,402
1971-05-01;1,401
1971-06-01;1,384
1971-07-01;1,405
1971-08-01;1,406
1971-09-01;1,396
1971-10-01;1,396
1971-11-01;1,37
1971-12-01;1,362
1972-01-01;1,353
1972-02-01;1,365
1972-03-01;1,343
1972-04-01;1,341
1972-05-01;1,341
1972-06-01;1,337
1972-07-01;1,346
1972-08-01;1,327
1972-09-01;1,313
1972-10-01;1,301
1972-11-01;1,283
1972-12-01;1,268
1973-01-01;1,264
1973-02-01;1,268
1973-03-01;1,278
1973-04-01;1,289
1973-05-01;1,299
1973-06-01;1,31
1973-07-01;1,299
1973-08-01;1,325
1973-09-01;1,32
1973-10-01;1,295
1973-11-01;1,286
1973-12-01;1,314
1974-01-01;1,317
1974-02-01;1,327
1974-03-01;1,332
1974-04-01;1,346
1974-05-01;1,35
1974-06-01;1,362
1974-07-01;1,368
1974-08-01;1,377
1974-09-01;1,396
1974-10-01;1,431
1974-11-01;1,454
1974-12-01;1,512
1975-01-01;1,514
1975-02-01;1,515
1975-03-01;1,549
1975-04-01;1,531
1975-05-01;1,52
1975-06-01;1,497
1975-07-01;1,487
1975-08-01;1,468
1975-09-01;1,464
1975-10-01;1,467
1975-11-01;1,463
1975-12-01;1,444
1976-01-01;1,413
1976-02-01;1,415
1976-03-01;1,409
1976-04-01;1,41
1976-05-01;1,419
1976-06-01;1,413
1976-07-01;1,42
1976-08-01;1,418
1976-09-01;1,425
1976-10-01;1,449
1976-11-01;1,429
1976-12-01;1,398
1977-01-01;1,412
1977-02-01;1,397
1977-03-01;1,384
1977-04-01;1,392
1977-05-01;1,395
1977-06-01;1,387
1977-07-01;1,389
1977-08-01;1,396
1977-09-01;1,401
1977-10-01;1,392
1977-11-01;1,392
1977-12-01;1,381
1978-01-01;1,431
1978-02-01;1,405
1978-03-01;1,403
1978-04-01;1,374
1978-05-01;1,381
1978-06-01;1,378
1978-07-01;1,392
1978-08-01;1,38
1978-09-01;1,387
1978-10-01;1,382
1978-11-01;1,385
1978-12-01;1,387
1979-01-01;1,411
1979-02-01;1,424
1979-03-01;1,385
1979-04-01;1,432
1979-05-01;1,405
1979-06-01;1,425
1979-07-01;1,439
1979-08-01;1,435
1979-09-01;1,437
1979-10-01;1,446
1979-11-01;1,446
1979-12-01;1,451
1980-01-01;1,447
1980-02-01;1,461
1980-03-01;1,498
1980-04-01;1,541
1980-05-01;1,56
1980-06-01;1,561
1980-07-01;1,54
1980-08-01;1,523
1980-09-01;1,488
1980-10-01;1,456
1980-11-01;1,453
1980-12-01;1,452
1981-01-01;1,449
1981-02-01;1,462
1981-03-01;1,479
1981-04-01;1,474
1981-05-01;1,488
1981-06-01;1,497
1981-07-01;1,499
1981-08-01;1,507
1981-09-01;1,523
1981-10-01;1,544
1981-11-01;1,566
1981-12-01;1,581
1982-01-01;1,58
1982-02-01;1,542
1982-03-01;1,542
1982-04-01;1,545
1982-05-01;1,523
1982-06-01;1,551
1982-07-01;1,56
1982-08-01;1,571
1982-09-01;1,566
1982-10-01;1,578
1982-11-01;1,56
1982-12-01;1,557
1983-01-01;1,516
1983-02-01;1,52
